# Gene set generated on 2025-07-31T18:08:23 using cellxgene version 1.2.0
# Input data file was cellxgene_data/kirsten/qc_KNK_URT007_scRNA.TCR_jul25.h5ad, which was last modified on 2025-07-29T16:31:39
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (7/31/2025, 2:08:23 PM)",,Vim,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Tyrobp,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Alox5ap,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Ctsh,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Reep5,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Fcer1g,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Psap,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Lgals3,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Cd74,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Anxa2,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Plp2,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Lyn,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Gpx1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Cst3,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Plek,
"Pop1 high (7/31/2025, 2:08:23 PM)",,H2-Aa,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Ifi30,
"Pop1 high (7/31/2025, 2:08:23 PM)",,H2az1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Cybb,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Spag9,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Spi1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Lgals1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Ly86,
"Pop1 high (7/31/2025, 2:08:23 PM)",,H2-Ab1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,H3f3a,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Ctsz,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Plaur,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Flna,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Stmn1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Syk,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Cks2,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Tpd52,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Nr4a1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Grn,
"Pop1 high (7/31/2025, 2:08:23 PM)",,H2-Eb1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Pdlim1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Napsa,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Pld4,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Serp1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Tagln2,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Ctss,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Cd24a,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Zeb2,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Lmnb1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Cd44,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Unc93b1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Zfp36,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Ncf1,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Lamp2,
"Pop1 high (7/31/2025, 2:08:23 PM)",,Skap2,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Cd3g,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Cd3e,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Ccl5,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Hcst,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Gimap3,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Ltb,
"Pop2 high (7/31/2025, 2:08:23 PM)",,AW112010,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Cd3d,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Lat,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Shisa5,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Gimap7,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Gimap4,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Ms4a4b,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Cxcr6,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Nkg7,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Ptpn18,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Cd160,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Trbc2,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Cd8a,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Cd8b1,
"Pop2 high (7/31/2025, 2:08:23 PM)",,H2-K1,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Cd52,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Gimap6,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Epsti1,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Cxcr3,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Lck,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Cst7,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Id2,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Hopx,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Rps15a,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Skap1,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Rpl18a,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Rps24,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Thy1,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Ms4a6b,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Rpl19,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Ifi47,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Rgs1,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Rps13,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Ctsw,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Rpl9,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Fasl,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Rpl27a,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Rpl36,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Dtx1,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Rps27,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Rpl12,
"Pop2 high (7/31/2025, 2:08:23 PM)",,Atp8a2,
